english	icelandic
amount	magn
blue.whiting	kolmunni
bottom	ibotni
bottom.temp	botnhiti
capelin	lodna
category	flokkur
catfish	steinbitur
cod	torskur
common.dab	sandkoli
dab	blalanga
day	dags
deep.redfish	djupkarfi
depth	dypi
drag	dregin
fish.species	fteg
fishing.day	vedags
fishing.grounds	veidisvaedi
fishing.month	veman
flatfish	flatf
gear	faeri
gear.type	veidarf
gear.type.two	tvo.veidarf
gear.type.two.l	tvo.veidarf.1
gr.silver.smelt	gullllax
gray.sole	langlura
greenland.halibut	graluda
gridcell	reitur
haddock	ysa
halibut	luda
harbor	hoflina
head.depth	hoflinu.dypi
head.height	hoflinu.hiti
height	haed
herring	sild
home.port	heimah
hooks	onglar
hour	klst
id	visir
landing.day	ldags
landing.month	lman
landing.port	lhofn
lemon.sole	tylura
length	lengd
ling	langa
mackerel	makrill
megrim	storkj
mesh.size	moskvi
monkfish	skotus
month	man
name	heiti
nephrops	humar
night	naetur
norwegian.herring	norskislsild
number.per.kilo	fjikilo
ocean.redfish	uthafskarfi
offer	bjod
other	annarf
owner	eigandi
pearlside	gulldepla
phone.number	simi
plaice	skarkoli
port	hofn
redfish	karfi
ref.number	einknr
ref.station	einkst
rough.dab	skrapfl
rough.dab	skrapflura
saithe	ufsi
sensor	nemi
ship.number	skip.nr
ship.number	skipnr
ship.size	brl
shrimp	raekja
size	staerd
skates	skata
smagridcell	reitur
small.gridcell	smareitur
spotted.catfish	hlyri
sq.meters	fermetrar
starry.ray	tindask
trawl.bag	leggpokki
trawl.length	togle
trawl.name	nafn.vorpu
trawl.time	togtimi
trawl.window	legggluggi
tusk	keila
type	gerd
whiting	lysa
wire.length	virle
wolffish	steinb
year	ar
